instance_size,num_variables,seed,solver,objective_value,optimality_gap,raw_feasibility_rate,repaired_feasible,runtime_sec,circuit_depth,two_qubit_gates,evaluations_count
5x3,15,42,QAOA_p1,7650.01,9.51,0.0029,True,1.0397,23.0,0.0,19
5x3,15,59,Exact_MILP,7640.5,0.0,1.0,True,0.03528,0.0,0.0,1
5x3,15,59,Random_Sampler,7641.01,0.51,0.0,True,0.09067,0.0,0.0,1000
5x3,15,59,Simulated_Annealing,7640.79,0.29,0.0,True,0.00576,0.0,0.0,684
5x3,15,59,QAOA_p1,7670.11,29.61,0.001,True,0.9545,23.0,0.0,20
5x3,15,71,Exact_MILP,7640.5,0.0,1.0,True,0.03441,0.0,0.0,1
5x3,15,71,Random_Sampler,7641.01,0.51,0.0,True,0.08823,0.0,0.0,1000
5x3,15,71,Simulated_Annealing,7640.79,0.29,0.0,True,0.00586,0.0,0.0,684
5x3,15,71,QAOA_p1,7654.2,13.7,0.0,True,0.9668,23.0,0.0,20
5x3,15,83,Exact_MILP,7640.5,0.0,1.0,True,0.03734,0.0,0.0,1
5x3,15,83,Random_Sampler,7640.5,0.0,0.0,True,0.08064,0.0,0.0,1000
5x3,15,83,Simulated_Annealing,7640.79,0.29,0.0,True,0.00573,0.0,0.0,684
5x3,15,83,QAOA_p1,7641.01,0.51,0.0059,True,0.9108,23.0,0.0,19
5x3,15,97,Exact_MILP,7640.5,0.0,1.0,True,0.0354,0.0,0.0,1
5x3,15,97,Random_Sampler,7640.79,0.29,0.0,True,0.08082,0.0,0.0,1000
5x3,15,97,Simulated_Annealing,7640.79,0.29,0.0,True,0.00569,0.0,0.0,684
5x3,15,97,QAOA_p1,7690.09,49.59,0.001,True,0.9302,23.0,0.0,20
5x3,15,109,Exact_MILP,7640.5,0.0,1.0,True,0.03604,0.0,0.0,1
5x3,15,109,Random_Sampler,7693.81,53.31,0.003,True,0.10293,0.0,0.0,1000
5x3,15,109,Simulated_Annealing,7640.79,0.29,0.0,True,0.0074,0.0,0.0,684
5x3,15,109,QAOA_p1,7658.9,18.4,0.0039,True,0.9813,23.0,0.0,20
5x3,15,127,Exact_MILP,7640.5,0.0,1.0,True,0.03485,0.0,0.0,1
5x3,15,127,Random_Sampler,7641.01,0.51,0.002,True,0.0855,0.0,0.0,1000
5x3,15,127,Simulated_Annealing,7640.79,0.29,0.0,True,0.00573,0.0,0.0,684
5x3,15,127,QAOA_p1,7658.9,18.4,0.001,True,1.0026,23.0,0.0,20
6x3,18,11,Exact_MILP,9362.38,0.0,1.0,True,0.03167,0.0,0.0,1
6x3,18,11,Random_Sampler,9371.89,9.51,0.001,True,0.0948,0.0,0.0,1000
6x3,18,11,Simulated_Annealing,9362.67,0.29,0.0,True,0.00651,0.0,0.0,684
6x3,18,11,QAOA_p1,9498.87,136.49,0.001,True,1.3419,27.0,0.0,20
6x3,18,23,Exact_MILP,9362.38,0.0,1.0,True,0.03278,0.0,0.0,1
6x3,18,23,Random_Sampler,9471.78,109.4,0.0,True,0.09381,0.0,0.0,1000
6x3,18,23,Simulated_Annealing,9362.67,0.29,0.0,True,0.00594,0.0,0.0,684
6x3,18,23,QAOA_p1,9371.95,9.57,0.001,True,1.2977,27.0,0.0,19
6x3,18,37,Exact_MILP,9362.38,0.0,1.0,True,0.0328,0.0,0.0,1
6x3,18,37,Random_Sampler,9471.78,109.4,0.001,True,0.09455,0.0,0.0,1000
6x3,18,37,Simulated_Annealing,9362.67,0.29,0.0,True,0.00574,0.0,0.0,684
6x3,18,37,QAOA_p1,9471.78,109.4,0.0,True,1.3518,27.0,0.0,20
6x3,18,42,Exact_MILP,9362.38,0.0,1.0,True,0.03807,0.0,0.0,1
6x3,18,42,Random_Sampler,9489.34,126.96,0.001,True,0.09109,0.0,0.0,1000
6x3,18,42,Simulated_Annealing,9362.67,0.29,0.0,True,0.00593,0.0,0.0,684
6x3,18,42,QAOA_p1,9362.67,0.29,0.001,True,1.2588,27.0,0.0,20
6x3,18,59,Exact_MILP,9362.38,0.0,1.0,True,0.034,0.0,0.0,1
6x3,18,59,Random_Sampler,9565.18,202.8,0.001,True,0.09435,0.0,0.0,1000
6x3,18,59,Simulated_Annealing,9362.67,0.29,0.0,True,0.00576,0.0,0.0,684
6x3,18,59,QAOA_p1,9502.08,139.7,0.0,True,1.3025,27.0,0.0,20
6x3,18,71,Exact_MILP,9362.38,0.0,1.0,True,0.04092,0.0,0.0,1
6x3,18,71,Random_Sampler,9362.89,0.51,0.0,True,0.09728,0.0,0.0,1000
6x3,18,71,Simulated_Annealing,9362.67,0.29,0.0,True,0.0058,0.0,0.0,684
6x3,18,71,QAOA_p1,9452.0,89.62,0.0029,True,1.3804,27.0,0.0,20
6x3,18,83,Exact_MILP,9362.38,0.0,1.0,True,0.03484,0.0,0.0,1
6x3,18,83,Random_Sampler,9405.86,43.48,0.001,True,0.09786,0.0,0.0,1000
6x3,18,83,Simulated_Annealing,9362.67,0.29,0.0,True,0.00607,0.0,0.0,684
6x3,18,83,QAOA_p1,9362.67,0.29,0.0,True,1.3608,27.0,0.0,20
6x3,18,97,Exact_MILP,9362.38,0.0,1.0,True,0.03479,0.0,0.0,1
6x3,18,97,Random_Sampler,9362.67,0.29,0.0,True,0.0955,0.0,0.0,1000
6x3,18,97,Simulated_Annealing,9362.67,0.29,0.0,True,0.00591,0.0,0.0,684
6x3,18,97,QAOA_p1,9362.67,0.29,0.0,True,1.3602,27.0,0.0,19
6x3,18,109,Exact_MILP,9362.38,0.0,1.0,True,0.03396,0.0,0.0,1
6x3,18,109,Random_Sampler,9441.94,79.56,0.0,True,0.11821,0.0,0.0,1000
